GLCTLVAML,swapped_272,0.05085383,0.0
GILGFVFTL,10x,0.2622651,0.0
GILGFVFTL,10x,0.1541541,0.0
GILGFVFTL,10x,0.31242847,0.0
NLVPMVATV,swapped_4179,0.04409427,0.0
RTLNAWVKV,swapped_5717,0.10046615,0.0
GILGFVFTL,10x,0.16880505,0.0
GLCTLVAML,swapped_2844,0.23007748,0.0
GILGFVFTL,10x,0.14233242,0.0
RTLNAWVKV,swapped_4517,0.5005759,0.0
NLVPMVATV,10x,0.27920315,0.0
GILGFVFTL,10x,0.1826892,0.0
GLCTLVAML,10x,0.2578525,0.0
GILGFVFTL,10x,0.1802907,0.0
GLCTLVAML,swapped_1783,0.034950648,0.0
GILGFVFTL,swapped_20,0.15894762,0.0
GILGFVFTL,positive,0.99789053,1.0
GLCTLVAML,10x,0.46384135,0.0
GILGFVFTL,10x,0.18881962,0.0
GILGFVFTL,10x,0.6053213,0.0
NLVPMVATV,swapped_2808,0.074644275,0.0
GILGFVFTL,10x,0.13942902,0.0
GILGFVFTL,10x,0.092808165,0.0
GILGFVFTL,positive,0.42885813,1.0
GILGFVFTL,10x,0.0878232,0.0
KTWGQYWQV,swapped_1611,0.11686213,0.0
GILGFVFTL,10x,0.15427972,0.0
GILGFVFTL,10x,0.19890842,0.0
GILGFVFTL,10x,0.12568115,0.0
GILGFVFTL,positive,0.997294,1.0
GLCTLVAML,swapped_179,0.44457605,0.0
GILGFVFTL,positive,0.9705046,1.0
NLVPMVATV,swapped_2810,0.03843036,0.0
GLCTLVAML,swapped_2781,0.03754308,0.0
GLCTLVAML,10x,0.39333192,0.0
GLCTLVAML,positive,0.13325052,1.0
GILGFVFTL,10x,0.24213901,0.0
GILGFVFTL,positive,0.84696335,1.0
GILGFVFTL,positive,0.99671555,1.0
NLVPMVATV,swapped_2854,0.38051718,0.0
GILGFVFTL,10x,0.1284499,0.0
YLLEMLWRL,10x,0.63280517,0.0
FLYALALLL,swapped_1582,0.06580551,0.0
GILGFVFTL,10x,0.15312228,0.0
GILGFVFTL,positive,0.5816217,1.0
GILGFVFTL,positive,0.9951438,1.0
GILGFVFTL,10x,0.17497006,0.0
GILGFVFTL,positive,0.8900166,1.0
GLCTLVAML,10x,0.49088782,0.0
GILGFVFTL,10x,0.14953727,0.0
GILGFVFTL,10x,0.13525185,0.0
GILGFVFTL,swapped_4309,0.19352275,0.0
GILGFVFTL,positive,0.95224327,1.0
GLCTLVAML,10x,0.37746844,0.0
GILGFVFTL,10x,0.9157971,0.0
NLVPMVATV,swapped_5720,0.34268838,0.0
GILGFVFTL,10x,0.11681937,0.0
NLVPMVATV,positive,0.5704928,1.0
GLCTLVAML,10x,0.52189916,0.0
GILGFVFTL,10x,0.18797654,0.0
GILGFVFTL,10x,0.21886389,0.0
KVLEYVIKV,10x,0.6568173,0.0
