GLCTLVAML,10x,0.45257515,0.0
LLFGYPVYV,10x,0.5647905,0.0
GILGFVFTL,10x,0.34747857,0.0
SLFNTVATL,10x,0.4831029,0.0
GILGFVFTL,10x,0.3398088,0.0
KVLEYVIKV,swapped_14,0.5165479,0.0
GILGFVFTL,10x,0.10762787,0.0
NLVPMVATV,swapped_4366,0.4992186,0.0
GILGFVFTL,swapped_1541,0.27731714,0.0
GILGFVFTL,positive,0.2846628,1.0
GILGFVFTL,positive,0.70045507,1.0
GILGFVFTL,swapped_1687,0.28047714,0.0
NLVPMVATV,positive,0.4812823,1.0
GILGFVFTL,10x,0.17839324,0.0
GLCTLVAML,swapped_2849,0.4619468,0.0
GLCTLVAML,swapped_1748,0.528412,0.0
GLCTLVAML,10x,0.5123627,0.0
NLVPMVATV,10x,0.4778519,0.0
YLLEMLWRL,10x,0.52592903,0.0
RMFPNAPYL,10x,0.5684887,0.0
NLVPMVATV,10x,0.511455,0.0
GLCTLVAML,10x,0.56944615,0.0
YLLEMLWRL,swapped_4323,0.58633924,0.0
GILGFVFTL,10x,0.22036794,0.0
NLVPMVATV,positive,0.44455513,1.0
GILGFVFTL,10x,0.29023206,0.0
GILGFVFTL,swapped_4548,0.576721,0.0
GILGFVFTL,swapped_5776,0.25174403,0.0
GILGFVFTL,10x,0.32187107,0.0
GILGFVFTL,10x,0.3107178,0.0
GLCTLVAML,positive,0.5448059,1.0
GILGFVFTL,10x,0.10540828,0.0
LLFGYPVYV,10x,0.5389577,0.0
GILGFVFTL,swapped_5858,0.3544606,0.0
GILGFVFTL,10x,0.24076188,0.0
SLFNTVATL,10x,0.52395433,0.0
GLCTLVAML,swapped_73,0.4569367,0.0
NLVPMVATV,10x,0.5369744,0.0
GILGFVFTL,10x,0.3160822,0.0
GILGFVFTL,10x,0.40768903,0.0
LLFGYPVYV,10x,0.54796064,0.0
GLCTLVAML,swapped_4301,0.5988649,0.0
GILGFVFTL,10x,0.21449146,0.0
GILGFVFTL,positive,0.24476798,1.0
GILGFVFTL,positive,0.53763497,1.0
NLVPMVATV,swapped_2736,0.4455245,0.0
GILGFVFTL,10x,0.24691299,0.0
GILGFVFTL,10x,0.21062963,0.0
GILGFVFTL,10x,0.3574197,0.0
GLCTLVAML,10x,0.5245229,0.0
GILGFVFTL,10x,0.31393686,0.0
NLVPMVATV,10x,0.45923588,0.0
GILGFVFTL,swapped_1636,0.33657435,0.0
GILGFVFTL,10x,0.10516612,0.0
GILGFVFTL,10x,0.2195254,0.0
MLDLQPETT,swapped_3047,0.56880957,0.0
GILGFVFTL,10x,0.41220126,0.0
GILGFVFTL,10x,0.15231566,0.0
GLCTLVAML,positive,0.48797566,1.0
GLCTLVAML,10x,0.5160394,0.0
GILGFVFTL,10x,0.2688263,0.0
