2515,NLVPMVATV,swapped_1727,5,0.0037632769,0.0
2882,GILGFVFTL,positive,5,0.9994406,1.0
3272,GILGFVFTL,10x,5,0.059459317,0.0
6819,NLVPMVATV,swapped_5937,5,0.00013003654,0.0
3603,GILGFVFTL,10x,5,0.18094909,0.0
987,NLVPMVATV,10x,5,0.42498085,0.0
3671,GILGFVFTL,10x,5,0.17685178,0.0
2319,NLVPMVATV,10x,5,0.41816524,0.0
4201,GILGFVFTL,positive,5,0.17032899,1.0
3812,GLCTLVAML,swapped_3039,5,0.0043144873,0.0
1179,GILGFVFTL,swapped_132,5,0.2203959,0.0
3308,GILGFVFTL,10x,5,0.32835183,0.0
6001,GLCTLVAML,positive,5,0.4910431,1.0
6400,GILGFVFTL,10x,5,0.23600353,0.0
171,MLDLQPETT,positive,5,0.42678076,1.0
2512,NLVPMVATV,swapped_1766,5,0.023161571,0.0
2859,GILGFVFTL,positive,5,0.96968126,1.0
3250,GLCTLVAML,10x,5,0.37948275,0.0
3347,GILGFVFTL,10x,5,0.21846439,0.0
3586,GLCTLVAML,10x,5,0.42536187,0.0
2147,GILGFVFTL,10x,5,0.30429345,0.0
6101,GILGFVFTL,10x,5,0.266559,0.0
3910,GLCTLVAML,swapped_2698,5,0.48406732,0.0
6612,GLCTLVAML,swapped_5875,5,0.014074699,0.0
1226,NLVPMVATV,swapped_160,5,9.922311e-05,0.0
4267,GILGFVFTL,positive,5,0.9999721,1.0
1521,FLYALALLL,swapped_103,5,1.28304355e-05,0.0
1714,NLVPMVATV,positive,5,0.42386937,1.0
3409,GILGFVFTL,10x,5,0.09722981,0.0
187,GILGFVFTL,positive,5,0.9994655,1.0
330,LLFGYPVYV,positive,5,0.35591695,1.0
5868,GILGFVFTL,positive,5,0.46024996,1.0
485,GILGFVFTL,10x,5,0.21267353,0.0
6363,GILGFVFTL,10x,5,0.17565511,0.0
4281,GILGFVFTL,positive,5,0.99939644,1.0
480,GILGFVFTL,10x,5,0.37889722,0.0
